Name,Attack K,Attack E,Attack TA,Attack Atk%,Attack K/S,Attack ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve ?,Set Ast,Set TA,Set SE,Set 3,Set 2,Set 1,Set 0,Set Rtg.,Dig DS,Dig DE,Block BS,Block BA,Block BE,Block B/S,Points Pts +/-,Sets Sets Played
"#4 Olivia H.",3,1,6,0.333,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
"#6 Jessica C.",4,1,12,0.25,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
"#10 Kayla O.",3,1,10,0.2,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
"#22 Sierra P.",1,0,3,0.333,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2
"#16 Sophie C.",5,2,18,0.167,1.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
"#3 Janelle G.",1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
"Toledo Women's Volleyball",17,5,50,0.24,4.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,4
"#1 Grace F.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#7 Avery A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#12 Gabbi L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#14 Ava S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#21 Meg J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#15 Maddy B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#5 Sydney C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#18 Caylee S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,